chr	position	GM06990_ABL1	GM06990_MLLT3
8	25000001	-1.257255924	1.106730859
8	25100001	-0.954594591	1.106730859
8	25200001	-0.954594591	1.428820966
8	25300001	-0.954594591	1.750910911
8	25400001	-0.954594591	2.073000856
8	25500001	-0.651933222	2.073000856
8	25600001	-0.349271924	1.750910911
8	25700001	-0.651933222	1.750910911
8	25800001	-0.349271924	1.428820966
8	25900001	-0.349271924	1.428820966
8	26000001	-0.046610519	1.750910911
8	26100001	-0.349271924	2.073000856
8	26200001	-0.349271924	1.750910911
8	26300001	-0.046610519	1.428820966
8	26400001	0.256050886	1.428820966
8	26500001	-0.046610519	1.750910911
8	26600001	-0.046610519	2.073000856
8	26700001	0.558712183	1.750910911
8	26800001	0.256050886	1.428820966
8	26900001	0.558712183	1.428820966
8	27000001	0.558712183	1.106730859
8	27100001	0.558712183	0.784640833
8	27200001	0.861373481	1.106730859
8	27300001	1.164034779	1.106730859
8	27400001	1.164034779	0.784640833
8	27500001	1.164034779	0.462550726
8	27600001	1.164034779	0.140460781
8	27700001	0.861373481	0.784640833
8	27800001	0.861373481	1.428820966
8	27900001	0.861373481	0.784640833
8	28000001	0.861373481	1.106730859
8	28100001	1.164034779	0.784640833
8	28200001	0.861373481	0.784640833
8	28300001	0.861373481	1.750910911
8	28400001	1.164034779	1.750910911
8	28500001	1.466696076	2.073000856
8	28600001	1.769357374	2.395090801
8	28700001	2.374679969	2.073000856
8	28800001	2.677341624	1.750910911
8	28900001	2.374679969	1.750910911
8	29000001	2.072019029	1.428820966
8	29100001	2.374679969	1.428820966
8	29200001	2.374679969	1.106730859
8	29300001	1.769357374	0.140460781
8	29400001	1.164034779	1.106730859
8	29500001	0.861373481	1.106730859
8	29600001	0.256050886	0.784640833
8	29700001	-0.651933222	0.784640833
8	29800001	-0.954594591	0.462550726
8	29900001	-0.954594591	1.106730859
8	30000001	-0.954594591	1.106730859
8	30100001	-1.559917257	1.106730859
8	30200001	-1.257255924	1.106730859
8	30300001	-1.257255924	1.106730859
8	30400001	-0.954594591	0.140460781
8	30500001	-0.651933222	-0.181629164
8	30600001	-0.651933222	-0.181629164
8	30700001	-0.046610519	-0.181629164
8	30800001	-0.046610519	-0.181629164
8	30900001	-0.046610519	-0.825809256
8	31000001	-0.046610519	-1.147899242
8	31100001	0.558712183	-0.825809256
8	31200001	0.256050886	-0.825809256
8	31300001	0.256050886	-0.825809256
8	31400001	-0.046610519	-0.825809256
8	31500001	-0.349271924	-1.147899242
8	31600001	-0.349271924	-1.147899242
8	31700001	-0.954594591	-1.469989268
8	31800001	-0.349271924	-1.469989268
8	31900001	-0.349271924	-1.469989268
8	32000001	-0.349271924	-1.469989268
8	32100001	-0.954594591	-1.469989268
8	32200001	-0.954594591	-1.469989268
8	32300001	-0.954594591	-1.469989268
8	32400001	-0.954594591	-1.469989268
8	32500001	-0.954594591	-1.469989268
8	32600001	-0.954594591	-1.469989268
8	32700001	-0.954594591	-1.147899242
8	32800001	-1.257255924	-1.147899242
8	32900001	-0.954594591	-0.50371923
8	33000001	-0.954594591	-0.50371923
8	33100001	-0.954594591	-0.50371923
8	33200001	-0.651933222	-0.50371923
8	33300001	-0.651933222	-0.50371923
8	33400001	-0.651933222	-0.181629164
8	33500001	-0.651933222	-0.181629164
8	33600001	-0.651933222	0.140460781
